Date,Day,Usage
20/09/2021,MON,1438544
19/09/2021,SUN,798249
18/09/2021,SAT,1110828
17/09/2021,FRI,1494986
16/09/2021,THU,1483715
15/09/2021,WED,1478554
14/09/2021,TUE,1384166
13/09/2021,MON,1416403
12/09/2021,SUN,807859
11/09/2021,SAT,1082835
10/09/2021,FRI,1441377
09/09/2021,THU,1434576
08/09/2021,WED,1417134
07/09/2021,TUE,1392402
06/09/2021,MON,1343027
05/09/2021,SUN,815958
04/09/2021,SAT,1038178
03/09/2021,FRI,1320438
02/09/2021,THU,1257348
01/09/2021,WED,1206180
31/08/2021,TUE,1163787
30/08/2021,MON,811782
29/08/2021,SUN,789956
28/08/2021,SAT,1003539
27/08/2021,FRI,1185679
26/08/2021,THU,1160073
25/08/2021,WED,1164948
24/08/2021,TUE,1149084
23/08/2021,MON,1105442
22/08/2021,SUN,743845
21/08/2021,SAT,947262
20/08/2021,FRI,1160787
19/08/2021,THU,1141286
18/08/2021,WED,1135710
17/08/2021,TUE,1102844
16/08/2021,MON,1080873
15/08/2021,SUN,752957
14/08/2021,SAT,989035
13/08/2021,FRI,1150278
12/08/2021,THU,1149019
11/08/2021,WED,1140357
10/08/2021,TUE,1148134
09/08/2021,MON,1042824
08/08/2021,SUN,696020
07/08/2021,SAT,892634
06/08/2021,FRI,1106304
05/08/2021,THU,1102648
04/08/2021,WED,1122680
03/08/2021,TUE,1099421
02/08/2021,MON,1069527
01/08/2021,SUN,714876
31/07/2021,SAT,941105
30/07/2021,FRI,1091520
29/07/2021,THU,1146951
28/07/2021,WED,1074333
27/07/2021,TUE,1084624
26/07/2021,MON,1067240
25/07/2021,SUN,663939
24/07/2021,SAT,908455
23/07/2021,FRI,1171161
22/07/2021,THU,1155234
21/07/2021,WED,1156075
20/07/2021,TUE,1128434
19/07/2021,MON,1134069
18/07/2021,SUN,721742
17/07/2021,SAT,969358
16/07/2021,FRI,1270848
15/07/2021,THU,1244420
14/07/2021,WED,1246564
13/07/2021,TUE,1231468
12/07/2021,MON,1153769
11/07/2021,SUN,779461
10/07/2021,SAT,967440
09/07/2021,FRI,1289752
08/07/2021,THU,1271059
07/07/2021,WED,1285579
06/07/2021,TUE,1239394
05/07/2021,MON,1237193
04/07/2021,SUN,705676
03/07/2021,SAT,954693
02/07/2021,FRI,1305778
01/07/2021,THU,1305949
30/06/2021,WED,1282091
29/06/2021,TUE,1266531
28/06/2021,MON,1218068
27/06/2021,SUN,699773
26/06/2021,SAT,998153
25/06/2021,FRI,1310025
24/06/2021,THU,1309317
